         0         1         2              3        4
0    chr2L   5000625   5001008    MACS_peak_1   207.72
2    chr2L  15185588  15185835    MACS_peak_3    52.09
3    chr2L  16787430  16787764    MACS_peak_4    66.34
19   chr2R  16611328  16611611   MACS_peak_20    56.17
21   chr3L   1366809   1367061   MACS_peak_22    81.15
22   chr3L   9421694   9421986   MACS_peak_23    57.80
23   chr3L  10049268  10049519   MACS_peak_24    65.83
25   chr3L  14968221  14968510   MACS_peak_26    88.02
26   chr3L  18185651  18185936   MACS_peak_27    59.07
27   chr3L  18187549  18187786   MACS_peak_28   102.03
28   chr3L  18403149  18403539   MACS_peak_29   146.11
29   chr3L  18836204  18836377   MACS_peak_30    52.54
44   chr3R   3033288   3033785   MACS_peak_45    87.42
47   chr3R  18924186  18924641   MACS_peak_48   282.21
50    chrX   1711312   1711512   MACS_peak_51    61.94
51    chrX   2426845   2427074   MACS_peak_52    55.57
52    chrX   3682041   3682254   MACS_peak_53    51.48
53    chrX   6689035   6689321   MACS_peak_54    73.33
74    chrX  23205151  23205611   MACS_peak_75   152.19
87    chrX  23281972  23284305   MACS_peak_88  1496.48
89    chrX  23290844  23291207   MACS_peak_90    68.77
90    chrX  23291327  23291735   MACS_peak_91   159.27
91    chrX  23291790  23292013   MACS_peak_92   253.55
104   chrX  23537750  23538839  MACS_peak_105   207.14
